"Term","Label","Description","ParentTerm","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","",""
"ServiceProvision","Service Provision","provide service or activity","dpv:Purpose","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"UserInterfacePersonalisation","User Interface Personalisation","personalise interfaces presented to the user","dpv:ServicePersonalization","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Marketing","Marketing","carry out marketing i.e. promoting, selling, and distributing a product or service","dpv:Purpose","","","Was commercial interest, changed to consider Marketing a separate Purpose category by itself.","","2020-11-04","","proposed","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"DirectMarketing","Direct Marketing","carry out direct marketing i.e. marketing communicated directly to the individual","dpv:Marketing","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"Advertising","Advertising","carry out advertising i.e. process or artefact used to call attention to a product, service, etc. through announcements, notices, or other forms of communication.","dpv:Marketing","","","Advertising is a subset of Marketing. Advertising by itself does not indicate 'personalisation' i.e. personalised ads. ","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/2020/07/08-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"PersonalisedAdvertising","Personalised Advertising","provide personalised advertising","dpv:Advertising","","","","","2020-11-04","","proposed","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"ServiceUsageAnalytics","Analytics","calculate, analyse, and report usage of service or product.","dpv:ServiceProvision","","","Was ""UsageAnalytics"", prefixed with Service to better reflect scope","","2020-11-04","","proposed","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"CommunicationForCustomerCare","Communication for Customer Care","communicate with users via email, phone, sms, chat or push messages regarding your requests.","dpv:CustomerCare","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"LegalCompliance","Legal Compliance","fulfill obligations or requirements towards achieving compliance with law or regulations.","dpv:Purpose","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"Payment","Payment","process users’ payment transactions.","dpv:ServiceProvision","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"SocialMediaMarketing","Social Media","market through and on social media.","dpv:Marketing","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"RegistrationAuthentication","Registration and Authentication","register, authenticate, and identify in context of a service.","dpv:ServiceProvision","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"CustomerManagement","Customer Management","Management of past, current, and future customers","dpv:Purpose","","","Customer administration, management of orders, deliveries, invoicing of material and immaterial services. Solvency monitoring. Personalized marketing and advertising. Registering customers of a business and profiling them based on purchases.","Belgian DPA ROPA Template","","","proposed","","","","","","","","","","","","","","","","",""
"CustomerRelationshipManagement","Customer Relationship Management","Process by which a company can manage and analyse its own interactions with its past, current and potential customers","dpv:CustomerManagement","","","","Belgian DPA ROPA Template","","","proposed","Georg P Krog, Harshvardhan J. Pandit, Beatriz","https://www.w3.org/2020/07/08-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Benefit","Benefit","The benefits obtained or derived or provided from a purpose.","","","","","","2021-01-06","","proposed","","https://www.w3.org/2021/01/06-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Communication","Communication","to communicate or provide means for communication","dpv:Purpose","","","","","","","proposed","","","","","","","","","","","","","","","","",""
"RecordManagement","Record Management","to record or manage records of operations, events, and processes","dpv:Purpose","","","","","","","proposed","","","","","","","","","","","","","","","","",""
"AccountManagement","Account Management","to create, maintain, and manage accounts for purposes of providing services","dpv:Purpose","","","","","","","proposed","","","","","","","","","","","","","","","","",""
"HumanResources","","Recruitment and selection of employees and intermediaries (brokers, independent representatives, etc.). Payroll administration, remunerations, commissions, and wages. Application of social legislation.","dpv:Purpose","","","","Belgian DPA ROPA Template","","","proposed","","","","","","","","","","","","","","","","",""
"PersonnelManagement","","Evaluation and management of employees and intermediaries. Planning of training and career.","dpv:HumanResources","","","","Belgian DPA ROPA Template","","","proposed","","","","","","","","","","","","","","","","",""
"CustomerOrderManagement","","Management of Customer Orders","dpv:CustomerManagement","","","","Belgian DPA ROPA Template","","","proposed","","","","","","","","","","","","","","","","",""
"CustomerSolvencyMonitoring","","Solvency Monitoring","dpv:CustomerManagement","","","","Belgian DPA ROPA Template","","","proposed","","","","","","","","","","","","","","","","",""
"ClaimsManagement","","Management of claims, including repayment of monies owed.","dpv:CustomerManagement","","","","Belgian DPA ROPA Template","","","proposed","","","","","","","","","","","","","","","","",""
"VendorManagement","","Vendor administration. Management of orders received and payment of vendors. Prospecting possible vendors and their evaluation.","dpv:Purpose","","","","Belgian DPA ROPA Template","","","proposed","","","","","","","","","","","","","","","","",""
"VendorRecordsManagement","","Management of Vendor Orders","dpv:VendorManagement","","","","Belgian DPA ROPA Template","","","proposed","","","","","","","","","","","","","","","","",""
"VendorPayment","","Payment of Vendors","dpv:VendorManagement","","","","Belgian DPA ROPA Template","","","proposed","","","","","","","","","","","","","","","","",""
"PublicRelations","","This includes creating goodwill for the organization.","dpv:Purpose","","","","Belgian DPA ROPA Template","","","proposed","","","","","","","","","","","","","","","","",""
"OrganisationGovernance","","Conducting activities as part of governing an organisation.","dpv:Purpose","","","","Belgian DPA ROPA Template","","","proposed","","","","","","","","","","","","","","","","",""
"ShareholderPartnerManagement","","Maintaining a registry of shareholders or partners. The administration of their financial and other benefits.","dpv:OrganisationGovernance","","","","Belgian DPA ROPA Template","","","proposed","","","","","","","","","","","","","","","","",""
"DisputeManagement","","The management by natural persons, private bodies or public authorities of their own disputes.","dpv:OrganisationGovernance","","","","Belgian DPA ROPA Template","","","proposed","","","","","","","","","","","","","","","","",""
"REMOVEDSellTargettedAdvertisements","Sell Targetted Advertisements","sell or provide targetted advertisements","dpv:SellProducts","","","Advertisement is covered under another concept. If this is meant to sell advertisements as a product, a combination of SellProducts and Advertising should be used.","","","","proposed","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"REMOVEDCommercialInterest","Commercial Interest","carry out activities with a commercial interest i.e. of profit or benefit to the Controller","dpv:Purpose","","","""Commercial Interest"" as a purpose category is vague and unclear. There can be commercial interest in any of the other purpose categories.","","","","proposed","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"TagManagement","Tag Management","to activate or deactivate the technologies (tags, scripts etc) used on this service.","","","","A technology used by websites to more easily activate, deactivate and manage 3rd party technologies, and, more recently, the data that they collect.","","","","proposed","","","","","","","","","","","","","","","","",""
